ts,tenant,latency_ms,status,phase
1784412791.523,default-org,2439.317,200,measure
1784412793.962,default-org,57.48,200,measure
1784412791.154,default-org,3105.854,200,measure
1784412791.984,default-org,2278.161,200,measure
1784412794.262,default-org,122.044,200,measure
1784412794.26,default-org,190.309,200,measure
1784412791.952,default-org,2610.226,200,measure
1784412794.562,default-org,64.711,200,measure
1784412793.747,default-org,1017.612,200,measure
1784412794.765,default-org,58.593,200,measure
1784412793.121,default-org,1830.528,200,measure
1784412794.951,default-org,69.394,200,measure
1784412792.149,default-org,3016.637,200,measure
1784412791.864,default-org,3402.979,200,measure
1784412795.166,default-org,107.103,200,measure
1784412795.273,default-org,62.822,200,measure
1784412792.421,default-org,3232.696,200,measure
1784412795.654,default-org,63.808,200,measure
1784412790.451,default-org,5407.188,503,measure
1784412795.859,default-org,58.283,200,measure
1784412794.384,default-org,1582.643,200,measure
1784412795.967,default-org,60.462,200,measure
1784412793.013,default-org,3250.773,200,measure
1784412796.264,default-org,56.627,200,measure
1784412794.02,default-org,2433.492,200,measure
1784412796.453,default-org,58.338,200,measure
1784412795.335,default-org,1316.557,200,measure
1784412790.973,default-org,5690.686,503,measure
1784412794.823,default-org,1843.684,200,measure
1784412794.45,default-org,2308.078,200,measure
1784412793.498,default-org,3272.298,200,measure
1784412796.652,default-org,301.023,200,measure
1784412792.719,default-org,4351.805,200,measure
1784412796.758,default-org,414.676,200,measure
1784412796.953,default-org,295.066,200,measure
1784412795.021,default-org,2243.713,200,measure
1784412796.028,default-org,1436.83,200,measure
1784412793.83,default-org,3729.313,200,measure
1784412796.664,default-org,988.592,200,measure
1784412797.56,default-org,222.992,200,measure
1784412797.264,default-org,584.764,200,measure
1784412797.849,default-org,79.96,200,measure
1784412793.369,default-org,4690.576,503,measure
1784412795.717,default-org,2342.484,200,measure
1784412796.77,default-org,1385.711,200,measure
1784412795.917,default-org,2252.943,200,measure
1784412796.667,default-org,1587.299,200,measure
1784412797.248,default-org,1209.879,200,measure
1784412798.254,default-org,218.142,200,measure
1784412797.652,default-org,907.416,200,measure
1784412798.06,default-org,520.562,200,measure
1784412798.458,default-org,213.846,200,measure
1784412798.17,default-org,580.004,200,measure
1784412798.75,default-org,99.988,200,measure
1784412794.627,default-org,4339.634,200,measure
1784412798.059,default-org,990.371,200,measure
1784412798.967,default-org,182.078,200,measure
1784412799.05,default-org,159.217,200,measure
1784412797.071,default-org,2783.16,200,measure
1784412799.854,default-org,61.389,200,measure
1784412798.156,default-org,2099.025,200,measure
1784412800.255,default-org,55.495,200,measure
1784412798.85,default-org,1515.082,200,measure
1784412797.929,default-org,2437.125,200,measure
1784412800.365,default-org,58.195,200,measure
1784412800.423,default-org,77.207,200,measure
1784412795.267,default-org,5295.778,503,measure
1784412800.563,default-org,61.52,200,measure
1784412798.581,default-org,2191.4,200,measure
1784412800.772,default-org,55.671,200,measure
1784412796.32,default-org,4650.389,200,measure
1784412800.971,default-org,59.92,200,measure
1784412797.464,default-org,3790.202,200,measure
1784412801.255,default-org,57.191,200,measure
1784412797.173,default-org,4279.261,200,measure
1784412801.452,default-org,61.394,200,measure
1784412800.5,default-org,1153.52,200,measure
1784412801.654,default-org,85.884,200,measure
1784412799.149,default-org,2623.017,200,measure
1784412801.772,default-org,60.928,200,measure
1784412799.209,default-org,2758.463,200,measure
1784412801.968,default-org,54.064,200,measure
1784412796.511,default-org,5553.015,503,measure
1784412802.064,default-org,56.362,200,measure
1784412800.828,default-org,1539.462,200,measure
