ts,tenant,latency_ms,status,phase
1784411688.826,default-org,55.043,200,measure
1784411688.881,default-org,53.978,200,measure
1784411688.935,default-org,53.844,200,measure
1784411688.989,default-org,62.685,200,measure
1784411689.051,default-org,60.273,200,measure
1784411689.112,default-org,57.144,200,measure
1784411689.169,default-org,50.86,200,measure
1784411689.22,default-org,50.936,200,measure
1784411689.271,default-org,56.729,200,measure
1784411689.327,default-org,52.648,200,measure
1784411689.38,default-org,109.439,200,measure
1784411689.49,default-org,54.253,200,measure
1784411689.544,default-org,58.735,200,measure
1784411689.603,default-org,53.349,200,measure
1784411689.656,default-org,55.487,200,measure
1784411689.711,default-org,50.087,200,measure
1784411689.762,default-org,70.036,200,measure
1784411689.832,default-org,55.206,200,measure
1784411689.887,default-org,58.172,200,measure
1784411689.945,default-org,77.979,200,measure
1784411690.023,default-org,57.466,200,measure
1784411690.081,default-org,57.989,200,measure
1784411690.139,default-org,56.245,200,measure
1784411690.195,default-org,74.7,200,measure
1784411690.27,default-org,70.741,200,measure
1784411690.34,default-org,59.152,200,measure
1784411690.399,default-org,55.046,200,measure
1784411690.454,default-org,60.639,200,measure
1784411690.515,default-org,57.729,200,measure
1784411690.573,default-org,58.782,200,measure
1784411690.632,default-org,55.043,200,measure
1784411690.687,default-org,50.709,200,measure
1784411690.737,default-org,58.823,200,measure
1784411690.796,default-org,52.293,200,measure
1784411690.849,default-org,54.295,200,measure
1784411690.903,default-org,51.495,200,measure
1784411690.954,default-org,55.847,200,measure
1784411691.01,default-org,53.896,200,measure
1784411691.064,default-org,55.325,200,measure
1784411691.12,default-org,52.501,200,measure
1784411691.172,default-org,56.613,200,measure
1784411691.229,default-org,50.386,200,measure
1784411691.279,default-org,69.698,200,measure
1784411691.349,default-org,51.967,200,measure
1784411691.401,default-org,52.865,200,measure
1784411691.454,default-org,50.745,200,measure
1784411691.504,default-org,58.68,200,measure
1784411691.563,default-org,54.272,200,measure
1784411691.617,default-org,56.027,200,measure
1784411691.674,default-org,52.628,200,measure
1784411691.726,default-org,57.907,200,measure
1784411691.784,default-org,51.859,200,measure
1784411691.836,default-org,54.21,200,measure
1784411691.89,default-org,54.853,200,measure
1784411691.945,default-org,57.632,200,measure
1784411692.003,default-org,67.31,200,measure
1784411692.07,default-org,57.815,200,measure
1784411692.128,default-org,55.428,200,measure
1784411692.183,default-org,57.962,200,measure
1784411692.241,default-org,52.971,200,measure
1784411692.294,default-org,81.573,200,measure
1784411692.376,default-org,60.924,200,measure
1784411692.437,default-org,53.533,200,measure
1784411692.49,default-org,51.921,200,measure
1784411692.542,default-org,74.689,200,measure
1784411692.617,default-org,51.576,200,measure
